date,temp_max_c,temp_min_c,precip_mm,rain_mm,wind_max_kmh
2025-01-01,28.6,20.5,0.0,0.0,10.2
2025-01-02,28.2,18.6,0.0,0.0,9.7
2025-01-03,28.9,18.2,0.0,0.0,9.4
2025-01-04,28.9,18.5,0.0,0.0,9.9
2025-01-05,28.2,16.4,0.0,0.0,9.5
2025-01-06,27.5,17.7,0.0,0.0,8.8
2025-01-07,28.6,18.0,0.0,0.0,10.4
2025-01-08,27.2,18.7,0.0,0.0,9.2
2025-01-09,25.8,17.0,0.0,0.0,11.3
2025-01-10,26.4,17.3,0.0,0.0,12.5
2025-01-11,26.8,17.8,0.0,0.0,12.5
2025-01-12,27.7,18.0,0.0,0.0,11.0
2025-01-13,28.7,19.0,0.0,0.0,11.7
2025-01-14,28.5,18.4,0.0,0.0,10.8
2025-01-15,28.1,18.7,0.0,0.0,12.2
2025-01-16,28.2,18.9,0.0,0.0,10.8
2025-01-17,28.4,18.9,0.0,0.0,12.0
2025-01-18,26.9,18.5,0.0,0.0,10.9
2025-01-19,29.3,19.0,0.0,0.0,9.7
2025-01-20,29.5,19.2,0.0,0.0,9.7
2025-01-21,30.5,18.2,0.0,0.0,9.6
2025-01-22,30.1,18.6,0.0,0.0,9.9
2025-01-23,29.6,18.5,0.0,0.0,11.6
2025-01-24,30.6,19.0,0.0,0.0,10.1
2025-01-25,31.3,18.3,0.0,0.0,9.8
2025-01-26,30.1,19.6,0.0,0.0,9.5
2025-01-27,31.2,19.2,0.0,0.0,9.9
2025-01-28,31.0,19.3,0.0,0.0,10.9
2025-01-29,30.5,19.8,0.0,0.0,10.9
2025-01-30,31.0,19.3,0.0,0.0,9.2
2025-01-31,32.4,19.6,0.0,0.0,10.7
2025-02-01,32.2,21.0,0.0,0.0,9.7
2025-02-02,32.3,21.3,0.0,0.0,11.0
2025-02-03,32.2,20.9,0.0,0.0,11.2
2025-02-04,33.1,20.0,0.0,0.0,10.2
2025-02-05,33.4,22.1,0.0,0.0,12.4
2025-02-06,32.4,21.6,0.0,0.0,12.7
2025-02-07,32.1,21.9,0.0,0.0,10.7
2025-02-08,32.3,22.2,0.0,0.0,11.2
2025-02-09,31.6,22.1,0.0,0.0,10.3
2025-02-10,32.3,21.4,0.0,0.0,12.2
2025-02-11,33.7,21.5,0.0,0.0,12.0
2025-02-12,34.4,22.0,0.0,0.0,10.9
2025-02-13,33.6,21.5,0.0,0.0,9.8
2025-02-14,32.8,22.4,0.0,0.0,6.4
2025-02-15,32.9,20.6,0.0,0.0,10.9
2025-02-16,33.5,20.4,0.0,0.0,8.8
2025-02-17,34.3,21.4,0.0,0.0,11.6
2025-02-18,34.7,21.9,0.0,0.0,11.8
2025-02-19,34.0,23.0,0.0,0.0,9.3
2025-02-20,33.9,23.4,0.5,0.5,8.6
2025-02-21,32.8,23.3,0.0,0.0,9.6
2025-02-22,33.9,22.3,0.0,0.0,11.0
2025-02-23,33.2,23.0,0.0,0.0,12.9
2025-02-24,32.3,22.7,0.0,0.0,10.9
2025-02-25,31.8,21.1,0.0,0.0,10.8
2025-02-26,31.8,21.7,0.0,0.0,10.7
2025-02-27,32.4,21.6,0.0,0.0,10.2
2025-02-28,32.5,21.7,0.0,0.0,10.1
2025-03-01,32.8,21.6,0.0,0.0,11.6
2025-03-02,34.5,22.5,0.0,0.0,11.7
2025-03-03,35.6,23.5,0.0,0.0,11.9
2025-03-04,36.0,22.8,0.0,0.0,13.5
2025-03-05,33.7,23.9,0.0,0.0,11.5
2025-03-06,32.5,21.1,0.0,0.0,11.1
2025-03-07,33.4,19.3,0.0,0.0,9.7
2025-03-08,35.8,19.8,0.0,0.0,9.9
2025-03-09,34.7,22.6,0.0,0.0,12.7
2025-03-10,32.6,20.7,0.0,0.0,12.2
2025-03-11,33.6,22.1,0.0,0.0,13.4
2025-03-12,35.8,22.4,0.0,0.0,10.8
2025-03-13,37.6,23.7,0.0,0.0,9.4
2025-03-14,37.4,25.5,0.0,0.0,10.5
2025-03-15,37.4,26.0,0.0,0.0,13.9
2025-03-16,37.2,25.8,0.0,0.0,12.7
2025-03-17,37.6,24.9,0.0,0.0,12.1
2025-03-18,37.0,26.2,0.0,0.0,13.6
2025-03-19,36.1,24.6,0.0,0.0,13.9
2025-03-20,35.3,22.1,0.0,0.0,13.8
2025-03-21,35.8,22.4,0.0,0.0,18.1
2025-03-22,33.8,23.0,0.5,0.5,11.3
2025-03-23,32.3,22.8,0.1,0.1,9.1
2025-03-24,33.3,22.8,0.0,0.0,9.4
2025-03-25,34.5,23.0,0.0,0.0,10.1
2025-03-26,36.2,24.0,0.0,0.0,13.1
2025-03-27,37.5,25.1,0.0,0.0,15.4
2025-03-28,37.8,26.1,0.0,0.0,8.4
2025-03-29,37.6,26.2,0.0,0.0,8.0
2025-03-30,38.1,26.8,0.0,0.0,13.3
2025-03-31,37.0,26.1,0.0,0.0,11.7
2025-04-01,35.2,23.8,0.0,0.0,12.3
2025-04-02,32.8,23.3,0.0,0.0,11.8
2025-04-03,30.3,21.6,9.4,9.4,11.3
2025-04-04,30.6,21.4,3.0,3.0,11.7
2025-04-05,32.5,23.6,0.0,0.0,6.6
2025-04-06,34.5,23.1,0.0,0.0,8.3
2025-04-07,36.1,23.8,0.0,0.0,11.5
2025-04-08,35.6,23.9,0.1,0.1,10.4
2025-04-09,36.8,23.8,0.0,0.0,13.1
2025-04-10,37.1,25.4,0.0,0.0,11.9
2025-04-11,37.0,24.3,0.0,0.0,16.4
2025-04-12,37.1,25.3,0.0,0.0,14.1
2025-04-13,37.0,25.1,0.0,0.0,10.4
2025-04-14,36.9,24.9,0.0,0.0,10.9
2025-04-15,36.2,25.6,0.0,0.0,11.2
2025-04-16,36.2,24.3,0.0,0.0,15.1
2025-04-17,35.9,25.1,0.3,0.3,10.3
2025-04-18,37.2,25.6,0.0,0.0,10.1
2025-04-19,35.3,26.7,1.7,1.7,8.6
2025-04-20,37.9,27.3,0.0,0.0,9.4
2025-04-21,37.8,26.7,0.1,0.1,11.5
2025-04-22,38.5,27.7,0.1,0.1,9.0
2025-04-23,38.3,28.0,0.0,0.0,9.9
2025-04-24,38.7,27.8,0.0,0.0,11.9
2025-04-25,38.4,28.9,0.0,0.0,9.8
2025-04-26,37.6,27.0,0.0,0.0,9.6
2025-04-27,32.9,24.7,8.2,8.2,11.1
2025-04-28,37.0,24.9,0.0,0.0,9.5
2025-04-29,36.9,25.0,0.0,0.0,11.1
2025-04-30,38.4,25.6,0.0,0.0,12.2
2025-05-01,37.9,25.2,0.0,0.0,11.9
2025-05-02,38.7,25.5,0.0,0.0,12.6
2025-05-03,38.6,26.2,0.0,0.0,12.1
2025-05-04,38.5,26.1,0.0,0.0,14.5
2025-05-05,37.5,23.9,0.0,0.0,10.6
2025-05-06,36.8,24.9,0.0,0.0,9.2
2025-05-07,36.0,24.8,0.8,0.8,11.9
